Host   Node   Slot  Product  Version   Location
  497  12475  FF       I2IS    7.03    EMMEN,
  497  12475   0        TII  105.35    EMMEN,
  500   3632   1       XCOM  104.03    BLOOMFIELD,CT
  502   2072  FF       I2IS    7.03    CINCINNATI,OH
  502   2072   0        TII  105.35    CINCINNATI,OH
  503   6504   1       CMTI  107.04    OKLAHOMA CITY,OK
  504   6510   1       SNAH    3.03    OKLAHOMA CITY,OK
  505   3622   3       XCOM  104.03    DENVER,CO
  506   7400   3       SNAH    3.03    SAN FRANCISCO,CA
  507  11076   1       XCOM  300.55    DALLAS,TX
  508  13245   1       ISCS    6.40    NORRISTOWN,PA
  510  11076   1       XCOM  300.55    DALLAS,TX
  511  12364   2       XCOM  104.03    SCHAUMBURG,IL
  512   4366  FF       I2IS   11.33    DENVER,CO
  512   4366   0        TII  105.35    DENVER,CO
  514   3002  FF        TII    0.00    CINCINNATI,OH
  516   6727   1       XCOM  300.55    DALLAS,TX
  517   3330   0        TII  105.22    BROOKFIELD,WI
  517   3330  FF       I2IS    7.03    BROOKFIELD,WI
  518   3340  FF       I2IS    7.04    BROOKFIELD,WI
  518   3340   0        TII  105.22    BROOKFIELD,WI
  519  10544   1       SNAH    3.03    AKRON,OH
  520  10547   1       CMTI  107.04    AKRON,OH
  522   3416   5       MSRV  103.03    PORT OF SPAIN,
  523   6727   1       XCOM  300.55    DALLAS,TX
  524   3714  FF        TII    0.00    AKRON,OH
